Data,Páginas afetadas
2025-06-09,7488
2025-06-10,7575
2025-06-11,7575
2025-06-12,7575
2025-06-13,7575
2025-06-14,7751
2025-06-15,7751
2025-06-16,7751
2025-06-17,7741
2025-06-18,7741
2025-06-19,7741
2025-06-20,7741
2025-06-21,7823
2025-06-22,7823
2025-06-23,7823
2025-06-24,7923
2025-06-25,7923
2025-06-26,7923
2025-06-27,7923
2025-06-28,7992
2025-06-29,7992
2025-06-30,7992
2025-07-01,8073
2025-07-02,8073
2025-07-03,8073
2025-07-04,8073
2025-07-05,8186
2025-07-06,8186
2025-07-07,8186
2025-07-08,8287
2025-07-09,8287
2025-07-10,8287
2025-07-11,8287
2025-07-12,8389
2025-07-13,8389
2025-07-14,8389
2025-07-15,8411
2025-07-16,8411
2025-07-17,8411
2025-07-18,8411
2025-07-19,8411
2025-07-20,8411
2025-07-21,8411
2025-07-22,8453
2025-07-23,8453
2025-07-24,8453
2025-07-25,8453
2025-07-26,8493
2025-07-27,8493
2025-07-28,8493
2025-07-29,8506
2025-07-30,8506
2025-07-31,8506
2025-08-01,8506
2025-08-02,8536
2025-08-03,8536
2025-08-04,8536
2025-08-05,9330
2025-08-06,9330
2025-08-07,9330
2025-08-08,9330
2025-08-09,9557
2025-08-10,9557
2025-08-11,9557
2025-08-12,9743
2025-08-13,9743
2025-08-14,9743
2025-08-15,9743
2025-08-16,9899
2025-08-17,9899
2025-08-18,9899
2025-08-19,10241
2025-08-20,10241
2025-08-21,10241
2025-08-22,10241
2025-08-23,10912
2025-08-24,10912
2025-08-25,10912
2025-08-26,11300
2025-08-27,11300
2025-08-28,11300
2025-08-29,11300
2025-08-30,11561
2025-08-31,11561
2025-09-01,11561
2025-09-02,12146
2025-09-03,12146
2025-09-04,12146
2025-09-05,12146
